Citation,Study_Species,Species_analyze,Tree_taxon,Family,SiteLatitude,SiteLongitude,elevation.m,Sex,Mass,SVL,EstimationMethod,Home_range,MEAN_NPP,Total_Precip,MnAnnTemp,SD_Temp,IUCN habitats,IUCN aquatic,Aquatic index
Smith et al. 2009,Agkistrodon contortrix,Agkistrodon contortrix,Agkistrodon_contortrix,Viperidae,41.564999,-72.75942,123,Male,262.06,72.53,95KD,27.09,10527.9,1212.51,98.67,92.34,3,1,0.33
Smith et al. 2009,Agkistrodon contortrix,Agkistrodon contortrix,Agkistrodon_contortrix,Viperidae,41.564999,-72.75942,123,Female,174.25,61.94,95KD,7.25,10527.9,1212.51,98.67,92.34,3,1,0.33
Sutton et al. 2017,Agkistrodon contortrix,Agkistrodon contortrix,Agkistrodon_contortrix,Viperidae,34.24,-87.414,240,Male,262.06,72.53,95KD,17.8,7306.452703,1493.635135,152.6527778,79.8636545,3,1,0.333333333
Sutton et al. 2017,Agkistrodon contortrix,Agkistrodon contortrix,Agkistrodon_contortrix,Viperidae,34.24,-87.414,240,Female,174.25,61.94,95KD,7.1,7306.452703,1493.635135,152.6527778,79.8636545,3,1,0.333333333
Roth 2005,Agkistrodon piscivorus,Agkistrodon piscivorus,Agkistrodon_piscivorus,Viperidae,30.626465,-95.542789,110,Male,284.5,58.9,95MCP,1.86,5040.95,1149.55,193.83,71.35,21,19,0.9
Roth 2005,Agkistrodon piscivorus,Agkistrodon piscivorus,Agkistrodon_piscivorus,Viperidae,30.626465,-95.542789,110,Female,218.7,53.2,95MCP,0.372,5040.95,1149.55,193.83,71.35,21,19,0.9
Linn et al. 2006,Bitis gabonica,Bitis gabonica,Bitis_gabonica,Viperidae,-28.421183,32.284239,55,Male,1394,97.17,100MCP,39.55,16451.87,1049.38,217.29,28.14,8,1,0.13
Linn et al. 2006,Bitis gabonica gabonica,Bitis gabonica,Bitis_gabonica,Viperidae,-28.421183,32.284239,55,Female,1981,93.08,100MCP,12.6,16451.87,1049.38,217.29,28.14,8,1,0.13
Warner 2009,Bitis gabonica,Bitis gabonica,Bitis_gabonica,Viperidae,-27.636135,32.582517,32,Male,1394,97.17,100MCP,42.48,11433.8,903.66,220.77,28.47,8,1,0.13
Warner 2009,Bitis gabonica,Bitis gabonica,Bitis_gabonica,Viperidae,-27.636135,32.582517,32,Female,1981,93.08,100MCP,7.72,11433.8,903.66,220.77,28.47,8,1,0.13
Wasko and Sasa 2009,Bothrops asper,Bothrops asper,Bothrops_asper,Viperidae,10.431253,-84.0036,48,Male,553,107.08,100MCP,6.29,9811.21,4034.24,258.56,7.73,8,0,0
Wasko and Sasa 2009,Bothrops asper,Bothrops asper,Bothrops_asper,Viperidae,10.431253,-84.0036,48,Female,942.75,125.59,100MCP,5.8,9811.21,4034.24,258.56,7.73,8,0,0
Puente-Rolon and Bird-Pico 2004,Epicrates inornatus,Epicrates inornatus,Chilabothrus_inornatus,Boidae,18.415459,-66.725843,140,Male,861.2,136.56,100MCP,5,11194.07,1726.68,246.47,12.71,8,1,0.13
Puente-Rolon and Bird-Pico 2004,Epicrates inornatus,Epicrates inornatus,Chilabothrus_inornatus,Boidae,18.415459,-66.725843,140,Female,1124.6,151.11,100MCP,7.89,11194.07,1726.68,246.47,12.71,8,1,0.13
Wunderle et al. 2004,Epicrates inornatus,Epicrates inornatus,Chilabothrus_inornatus,Boidae,18.310011,-65.74253,200,Male,861.2,136.56,95MCP,12.9,11524.59,2382.96,239.5,13.07,8,1,0.13
Wunderle et al. 2004,Epicrates inornatus,Epicrates inornatus,Chilabothrus_inornatus,Boidae,18.310011,-65.74253,200,Female,1124.6,151.11,95MCP,10.29,11524.59,2382.96,239.5,13.07,8,1,0.13
Miersma 2006,Epicrates subflavus,Epicrates subflavus,Chilabothrus_subflavus,Boidae,18.353344,-77.658142,75,Male,1725,152,95MCP,12.25,15347.88,1804.81,238.17,9.87,7,1,0.14
